	index	Answer	Question	posNum	foreign	noun	noun+foreign/extra	others	foreignNum	nounNum	noun+foreign/extraNum	othersNum
0	0	수지형체외식초음파프로브	1) 의료용프로브(A58020) 2) 1등급 나. C6-2, C7F2, P9-4, L10-5 다.본 제품은 초음파 센서로 해당 주파수 범위 고조파 영상(harmonic imaging) 과 대조연구 적용을 위해 필요한 대역폭을 제공하는 환자진단용 프로브이다.	47	['harmonic', 'imaging']	['1', '2', '1등급', '나', 'C6-2,', 'C7F2,', 'P9-4,', 'L10-5', '다.본', '제품', '초음파', '센서', '해당', '주파수', '범위', '고조파', '영', '과', '대조연구', '적용', '필요', '대역폭', '제공', '환자진단용', '프로브']	['의료용프로브(A58020)']	[(')', 'S'), (')', 'S'), ('.', 'S'), ('은', 'J'), ('로', 'J'), ('상', 'X'), ('(', 'S'), (')', 'S'), ('을', 'J'), ('위하', 'P'), ('어', 'E'), ('하', 'X'), ('ㄴ', 'E'), ('을', 'J'), ('하', 'X'), ('는', 'E'), ('이', 'J'), ('다', 'E'), ('.', 'S')]	2	25	1	19
1	0	침습형일회용의료용가이드	기관용 튜브의 위치를 안내하기 위하여 사용하는 기구.	15	[]	['기관용', '튜브', '위치', '안내', '사용', '기구']	[]	[('의', 'J'), ('를', 'J'), ('하', 'X'), ('기', 'E'), ('위하', 'P'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('.', 'S')]	0	6	0	9
2	0	수지형체외식초음파프로브	본 탐촉자(Transducer)는 Siemens 초음파영상진단장치 Sequoia에 연결하여 사용하는 구성품으로서, 본 탐촉자는 인체 초음파 영상을 모니터로 검사자가 쉽 게 평가할 수 있도록 하여 진단을 용이하게 한다.	48	['Siemens', 'Sequoia']	['초음파영상진단장치', '연결', '사용', '구성품', '탐촉자', '인체', '초음파', '영상', '모니터', '검사자', '쉽', '것', '평가', '수', '진단', '용이']	['탐촉자(Transducer)']	[('보', 'P'), ('ㄴ', 'E'), ('는', 'J'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('으로서', 'J'), (',', 'S'), ('보', 'P'), ('ㄴ', 'E'), ('는', 'J'), ('을', 'J'), ('로', 'J'), ('가', 'J'), ('이', 'J'), ('하', 'X'), ('ㄹ', 'E'), ('있', 'P'), ('도록', 'E'), ('하', 'P'), ('어', 'E'), ('을', 'J'), ('하', 'X'), ('게', 'E'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	2	16	1	29
3	0	수지형체외식초음파프로브	본 탐촉자(Transducer)는 Siemens 초음파영상진단장치 SONOLINE Adara에 연결하여 사용하는 구성품으로서, 본 탐촉자는 인체 초음파 영상을 모니터로 검 사자가 쉽게 평가할 수 있도록 하여 진단을 용이하게 한다.	50	['Siemens', 'SONOLINE', 'Adara']	['초음파영상진단장치', '연결', '사용', '구성품', '탐촉자', '인체', '초음파', '영상', '모니터', '사자', '평가', '수', '진단', '용이']	['탐촉자(Transducer)']	[('보', 'P'), ('ㄴ', 'E'), ('는', 'J'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('으로서', 'J'), (',', 'S'), ('보', 'P'), ('ㄴ', 'E'), ('는', 'J'), ('을', 'J'), ('로', 'J'), ('걸', 'P'), ('ㅁ', 'E'), ('가', 'J'), ('쉽', 'P'), ('게', 'E'), ('하', 'X'), ('ㄹ', 'E'), ('있', 'P'), ('도록', 'E'), ('하', 'P'), ('어', 'E'), ('을', 'J'), ('하', 'X'), ('게', 'E'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	3	14	1	32
4	0	수지형체외식초음파프로브	본 탐촉자(Transducer)는 Siemens 초음파영상진단장치 Antrares에 연결하여 사 용하는 구성품으로서, 본 탐촉자는 인체 초음파 영상을 모니터로 검사자가 쉽게 평가할 수 있도록 하여 진단을 용이하게 한다.	48	['Siemens', 'Antrares']	['초음파영상진단장치', '연결', '구성품', '탐촉자', '인체', '초음파', '영상', '모니터', '검사자', '평가', '수', '진단', '용이']	['탐촉자(Transducer)']	[('보', 'P'), ('ㄴ', 'E'), ('는', 'J'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('사', 'P'), ('아', 'E'), ('용하', 'P'), ('는', 'E'), ('으로서', 'J'), (',', 'S'), ('보', 'P'), ('ㄴ', 'E'), ('는', 'J'), ('을', 'J'), ('로', 'J'), ('가', 'J'), ('쉽', 'P'), ('게', 'E'), ('하', 'X'), ('ㄹ', 'E'), ('있', 'P'), ('도록', 'E'), ('하', 'P'), ('어', 'E'), ('을', 'J'), ('하', 'X'), ('게', 'E'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	2	13	1	32
5	0	수지형체외식초음파프로브	(1) 의료용프로브(A58020) (2) 1등급 나. 형 명(모델명) (1) 형명(모델명) : VF7-3 (본체 : ACUSON Antares Ultrasound System) 다.본 제품은 본체인 초음파영상진단장치에 연결하여 사용하는 초음파 센서로 초 음파 송수신부(Beam Former)로부터 발생되는 펄스 신호를 실제 초음파빔으로 변환시켜 신체에 투과시키며 반대로 반사되어 오는 초음파를 수신하여 초음파 신호를 초음파 송수신부로 보내는 역할을 한다.	91	['ACUSON', 'Antares', 'Ultrasound', 'System', 'Former']	['1', '2', '1등급', '나', '형', '1', 'VF7-3', '본체', '다.본', '제품', '본체', '초음파영상진단장치', '연결', '사용', '초음파', '센서', '초', '음파', '발생', '펄스', '신호', '실제', '초음파빔', '변환', '신체', '투과', '반대', '반사', '초음파', '수신', '초음파', '신호', '초음파', '송수신부', '역할']	['의료용프로브(A58020)', '명(모델명)', '형명(모델명)', '송수신부(Beam']	[('(', 'S'), (')', 'S'), ('(', 'S'), (')', 'S'), ('.', 'S'), ('(', 'S'), (')', 'S'), (':', 'S'), ('(', 'S'), (':', 'S'), (')', 'S'), ('은', 'J'), ('이', 'J'), ('ㄴ', 'E'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('로', 'J'), (')', 'S'), ('로부터', 'J'), ('되', 'X'), ('는', 'E'), ('를', 'J'), ('으로', 'J'), ('시키', 'X'), ('어', 'E'), ('에', 'J'), ('시키', 'X'), ('며', 'E'), ('로', 'J'), ('되', 'X'), ('어', 'E'), ('오', 'P'), ('는', 'E'), ('를', 'J'), ('하', 'X'), ('어', 'E'), ('를', 'J'), ('로', 'J'), ('보내', 'P'), ('는', 'E'), ('을', 'J'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	5	35	4	47
6	0	수지형체외식초음파프로브	(1) 의료용프로브(A58020) (2) 1등급 나. 형 명(모델명) (1) 형명(모델명) : 7.5L70, L10-5 (본체: SONOLINE G50 Diagnostic Ultrasound System) 다.본 제품은 본체인 초음파영상진단장치(SONOLINE G50 Diagnostic Ultrasound System)에 연결하여 사용하는 초음파 센서로 초음파 송, 수 신부로부터 발생되는 펄스신호를 실제 초음파 빔으로 변환시켜 신체에 투과시키며 반대로 신체로부터 반사되어 오는 초음파를 수신하여 초음 파신호를 초음파 송,수신부로 보내는 역할을 한다.	101	['SONOLINE', 'Diagnostic', 'Ultrasound', 'System', 'Diagnostic', 'Ultrasound', 'System']	['1', '2', '1등급', '나', '형', '1', '7.', '5L70,', 'L10-5', '본체', 'G50', '다.본', '제품', '본체', 'G50', '연결', '사용', '초음파', '센서', '초음파', '송,', '수', '신부', '발생', '펄스신호', '실제', '초음파', '변환', '신체', '투과', '반대', '신체', '반사', '초음파', '수신', '초음', '파신호', '초음파', '송,수신부', '역할']	['의료용프로브(A58020)', '명(모델명)', '형명(모델명)', '초음파영상진단장치(SONOLINE']	[('(', 'S'), (')', 'S'), ('(', 'S'), (')', 'S'), ('.', 'S'), ('(', 'S'), (')', 'S'), (':', 'S'), ('(', 'S'), (':', 'S'), (')', 'S'), ('은', 'J'), ('이', 'J'), ('ㄴ', 'E'), (')', 'S'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('로', 'J'), ('로부터', 'J'), ('되', 'X'), ('는', 'E'), ('를', 'J'), ('비', 'P'), ('ㅁ', 'E'), ('으로', 'J'), ('시키', 'X'), ('어', 'E'), ('에', 'J'), ('시키', 'X'), ('며', 'E'), ('로', 'J'), ('로부터', 'J'), ('되', 'X'), ('어', 'E'), ('오', 'P'), ('는', 'E'), ('를', 'J'), ('하', 'X'), ('어', 'E'), ('를', 'J'), ('로', 'J'), ('보내', 'P'), ('는', 'E'), ('을', 'J'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	7	40	4	50
7	0	수지형체외식초음파프로브	(1) 의료용프로브(A58020) (2) 1등급 나. 형 명(모델명) (1) 형명(모델명) : 7.5L70, L10-5 (본체: SONOLINE G60S Diagnostic Ultrasound System) 다.본 제품은 본체인 초음파영상진단장치(SONOLINE G60S Diagnostic Ultrasound System)에 연결하여 사용하는 초음파 센서로 초음파 송, 수 신부로부터 발생되는 펄스신호를 실제 초음파 빔으로 변환시켜 신체에 투과시키며 반대로 신체로부터 반사되어 오는 초음파를 수신하여 초음 파신호를 초음파 송,수신부로 보내는 역할을 한다.	101	['SONOLINE', 'Diagnostic', 'Ultrasound', 'System', 'Diagnostic', 'Ultrasound', 'System']	['1', '2', '1등급', '나', '형', '1', '7.', '5L70,', 'L10-5', '본체', 'G60S', '다.본', '제품', '본체', 'G60S', '연결', '사용', '초음파', '센서', '초음파', '송,', '수', '신부', '발생', '펄스신호', '실제', '초음파', '변환', '신체', '투과', '반대', '신체', '반사', '초음파', '수신', '초음', '파신호', '초음파', '송,수신부', '역할']	['의료용프로브(A58020)', '명(모델명)', '형명(모델명)', '초음파영상진단장치(SONOLINE']	[('(', 'S'), (')', 'S'), ('(', 'S'), (')', 'S'), ('.', 'S'), ('(', 'S'), (')', 'S'), (':', 'S'), ('(', 'S'), (':', 'S'), (')', 'S'), ('은', 'J'), ('이', 'J'), ('ㄴ', 'E'), (')', 'S'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('로', 'J'), ('로부터', 'J'), ('되', 'X'), ('는', 'E'), ('를', 'J'), ('비', 'P'), ('ㅁ', 'E'), ('으로', 'J'), ('시키', 'X'), ('어', 'E'), ('에', 'J'), ('시키', 'X'), ('며', 'E'), ('로', 'J'), ('로부터', 'J'), ('되', 'X'), ('어', 'E'), ('오', 'P'), ('는', 'E'), ('를', 'J'), ('하', 'X'), ('어', 'E'), ('를', 'J'), ('로', 'J'), ('보내', 'P'), ('는', 'E'), ('을', 'J'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	7	40	4	50
8	0	수지형체외식초음파프로브	(1) 의료용프로브(A58020) (2) 1등급 나. 형 명(모델명) (1) 형명(모델명) : L10-5 (본체: ACUSON CV 70 Cardiology System) 다.본 제품은 본체인 초음파영상진단장치 (ACUSON CV 70 Cardiology System)에 연결하여 사용하는 초음파 센서로 초음파 송․수신부로부터 발생되는 펄스신호를 실제 초음파 빔으로 변환시켜 신체에 투과시키며 반대로 신체로부터 반사되어 오는 초음파를 수신하여 초음파신호를 초 음파 송․수신부로 보내는 역할을 한다.	98	['ACUSON', 'CV', 'Cardiology', 'System', 'ACUSON', 'CV', 'Cardiology', 'System']	['1', '2', '1등급', '나', '형', '1', 'L10-5', '본체', '70', '다.본', '제품', '본체', '초음파영상진단장치', '70', '연결', '사용', '초음파', '센서', '초음파', '송․수신부로부터', '발생', '펄스신호', '실제', '초음파', '변환', '신체', '투과', '반대', '신체', '반사', '초음파', '수신', '초음파신호', '초', '음파', '송․수신부', '역할']	['의료용프로브(A58020)', '명(모델명)', '형명(모델명)']	[('(', 'S'), (')', 'S'), ('(', 'S'), (')', 'S'), ('.', 'S'), ('(', 'S'), (')', 'S'), (':', 'S'), ('(', 'S'), (':', 'S'), (')', 'S'), ('은', 'J'), ('이', 'J'), ('ㄴ', 'E'), ('(', 'S'), (')', 'S'), ('에', 'J'), ('하', 'X'), ('어', 'E'), ('하', 'X'), ('는', 'E'), ('로', 'J'), ('되', 'X'), ('는', 'E'), ('를', 'J'), ('비', 'P'), ('ㅁ', 'E'), ('으로', 'J'), ('시키', 'X'), ('어', 'E'), ('에', 'J'), ('시키', 'X'), ('며', 'E'), ('로', 'J'), ('로부터', 'J'), ('되', 'X'), ('어', 'E'), ('오', 'P'), ('는', 'E'), ('를', 'J'), ('하', 'X'), ('어', 'E'), ('를', 'J'), ('로', 'J'), ('보내', 'P'), ('는', 'E'), ('을', 'J'), ('하', 'P'), ('ㄴ다', 'E'), ('.', 'S')]	8	37	3	50
